LocusID;Zygote;Quadrant;Globular;Heart;Torpedo;Bent;Mature
AT4G29860;914.7129913;848.3536725;966.5817201;1095.296523;1086.091512;952.7132306;1232.478864
AT4G29910;734.7978702;713.0497758;773.2915594;825.5423712;745.6617572;747.6044946;759.5853643
AT4G30580;827.5856229;747.4189624;795.4702222;941.2963008;1142.693279;1335.786582;1415.405395
AT4G31160;1803.869822;2154.253527;1548.545856;1785.980466;3461.543198;2994.44838;1333.519976
AT4G31770;772.9249024;839.0667601;922.2008227;968.2148551;1040.432174;1224.179859;758.3078695
AT4G31780;1009.102518;1089.279629;1190.585287;1218.55144;1337.641012;1071.066214;1098.690508
AT4G32400;4272.065106;4928.223294;3376.026715;4589.432477;5428.826662;3033.213244;2171.700886
AT4G32410;1176.987909;1090.99502;891.1202962;1019.395188;1009.43065;942.653579;1451.238696
AT4G32720;759.6181285;748.4895384;1114.973951;1018.765809;1193.6785;1267.931556;1312.270925
AT4G33090;736.2615513;772.3965883;748.924175;682.4195948;784.3713089;963.0795379;1060.792765
AT4G33460;1118.909364;1331.3583;1294.361366;1720.55424;2067.929678;1626.996056;980.048934
AT4G33495;627.3901618;653.4779891;608.7265166;611.7810408;608.475985;590.1148441;636.1148935
AT4G33680;676.3800038;981.7963005;1471.548771;1001.071599;1787.893714;1437.769571;760.4776632
AT4G33990;795.1713528;742.770004;726.2605664;759.5414504;741.6112008;764.9898699;725.0754739
AT4G34620;64713.59545;56678.33991;54196.16849;56205.76793;54841.30835;55414.752;58666.28078
AT4G36480;734.660091;764.6778515;775.219419;896.5217342;1084.106466;826.6911123;847.539505
AT4G36630;807.1538126;821.1120352;789.3481242;778.6758065;783.1505641;806.2707009;798.8607077
AT4G39120;631.8159439;605.2845746;626.6669436;614.0854183;603.524278;565.478965;612.6068701
AT4G39620;748.1757628;765.5818846;840.0955922;846.2576028;811.7264614;820.3933621;751.3664028
AT4G39920;870.4501244;776.5988919;821.5096628;861.9704542;804.0922895;894.3589368;828.3031388
AT5G02190;810.6782716;807.1999273;855.2429197;823.301958;829.5287663;789.3052379;748.1507063
AT5G02250;921.8088801;934.4736794;1036.244078;1064.503202;1049.244642;1217.105867;1527.352012
AT5G03800;851.923311;847.567637;888.1374475;846.9758056;846.2586477;796.2469341;967.3195258
AT5G05560;674.2121536;644.6745755;644.1214438;600.6941674;638.3265967;652.0089006;746.9255135
AT5G05680;9528.401715;10064.47816;8355.538551;9393.519161;7398.748756;5401.654482;9089.381479
AT5G06240;791.7867305;805.551976;880.3653761;803.6519441;809.1623673;844.2757091;1070.48248
